collected_at,city,keyword,filename,event_count,status
2026-07-12T03:47:09,London,film festival,0,,0,failed
2026-07-12T03:47:09,London,film festival,1,,0,failed
2026-07-12T03:47:09,London,film festival,2,,0,failed
2026-07-12T03:47:09,London,comedy,0,,0,failed
2026-07-12T03:47:09,London,comedy,1,,0,failed
2026-07-12T03:47:09,London,comedy,2,,0,failed
2026-07-12T03:47:09,London,theatre,0,,0,failed
2026-07-12T03:47:09,London,theatre,1,,0,failed
2026-07-12T03:47:09,London,theatre,2,,0,failed
2026-07-12T03:47:09,Vienna,jazz,0,,0,failed
2026-07-12T03:47:09,Vienna,jazz,1,,0,failed
2026-07-12T03:47:09,Vienna,jazz,2,,0,failed
2026-07-12T03:47:09,Vienna,rock,0,,0,failed
2026-07-12T03:47:09,Vienna,rock,1,,0,failed
2026-07-12T03:47:09,Vienna,rock,2,,0,failed
2026-07-12T03:47:09,Vienna,classical,0,,0,failed
2026-07-12T03:47:09,Vienna,classical,1,,0,failed
2026-07-12T03:47:09,Vienna,classical,2,,0,failed
2026-07-12T03:47:09,Vienna,opera,0,,0,failed
2026-07-12T03:47:09,Vienna,opera,1,,0,failed
2026-07-12T03:47:09,Vienna,opera,2,,0,failed
2026-07-12T03:47:09,Vienna,museum,0,,0,failed
2026-07-12T03:47:09,Vienna,museum,1,,0,failed
2026-07-12T03:47:09,Vienna,museum,2,,0,failed
2026-07-12T03:47:09,Vienna,exhibition,0,,0,failed
2026-07-12T03:47:09,Vienna,exhibition,1,,0,failed
2026-07-12T03:47:09,Vienna,exhibition,2,,0,failed
2026-07-12T03:47:09,Vienna,film festival,0,,0,failed
2026-07-12T03:47:09,Vienna,film festival,1,,0,failed
2026-07-12T03:47:09,Vienna,film festival,2,,0,failed
2026-07-12T03:47:09,Vienna,comedy,0,,0,failed
2026-07-12T03:47:09,Vienna,comedy,1,,0,failed
2026-07-12T03:47:09,Vienna,comedy,2,,0,failed
2026-07-12T03:47:09,Vienna,theatre,0,,0,failed
2026-07-12T03:47:09,Vienna,theatre,1,,0,failed
2026-07-12T03:47:09,Vienna,theatre,2,,0,failed
2026-07-12T03:47:09,Barcelona,jazz,0,,0,failed
2026-07-12T03:47:09,Barcelona,jazz,1,,0,failed
